egoid,alterid,timestamp,outgoing
10237,791455,2015-11-16 21:43:04.000,0
10237,791455,2015-10-24 13:48:22.000,0
10237,791455,2015-07-14 13:14:34.000,1
10237,791455,2015-07-04 18:25:04.000,0
10237,791455,2015-07-14 13:14:27.000,1
10237,791455,2015-08-22 19:40:01.000,1
10237,791455,2015-08-22 19:39:08.000,0
10237,791455,2015-07-14 13:17:33.000,0
10237,791455,2015-07-14 13:13:19.000,0
10237,791455,2015-10-30 21:34:03.000,0
10237,791455,2015-07-14 13:12:11.000,0
10237,791455,2015-07-14 13:14:18.000,1
10237,791455,2015-07-14 13:18:25.000,1
10237,791455,2015-10-30 21:38:01.000,1
10237,791455,2015-07-14 13:18:30.000,1
10237,791455,2015-07-14 13:18:57.000,0
10237,791455,2015-07-04 18:21:50.000,1
10237,791455,2015-07-14 13:19:14.000,1
10237,791455,2015-07-14 13:19:38.000,0
10237,791455,2015-10-30 21:38:26.000,0
10237,791455,2015-07-14 13:19:52.000,1
10237,791455,2015-10-30 21:38:39.000,1
10237,791455,2015-07-14 13:15:23.000,0
10237,791455,2015-09-03 23:08:49.000,1
10237,791455,2015-10-30 21:36:29.000,1
10237,791455,2015-07-04 18:31:20.000,0
10237,791455,2015-10-30 21:36:31.000,1
10237,791455,2015-09-03 23:08:10.000,1
10237,791455,2015-10-10 15:29:26.000,0
10237,791455,2015-07-09 17:34:07.000,1
10237,791455,2015-07-14 13:21:55.000,1
10237,791455,2015-07-14 13:16:21.000,0
10237,791455,2015-10-30 21:37:11.000,0
10237,791455,2015-07-04 18:27:43.000,1
10237,791455,2015-07-29 21:01:28.000,0
10237,791455,2015-08-22 19:41:40.000,0
10237,791455,2015-10-30 21:36:21.000,1
10237,791455,2015-10-30 21:34:19.000,0
10237,791455,2015-07-14 13:20:12.000,0
10237,791455,2015-07-14 13:16:40.000,1
10237,791455,2015-07-09 17:32:40.000,0
10237,791455,2015-10-30 21:34:13.000,0
10237,791455,2015-08-25 21:29:27.000,0
10237,791455,2015-08-25 21:28:04.000,1
10237,791455,2015-08-25 21:27:56.000,0
10237,791455,2015-08-25 21:27:50.000,0
10237,791455,2015-08-25 21:27:33.000,0
10237,791455,2015-10-24 14:37:06.000,1
10237,791455,2015-08-25 21:27:23.000,1
10237,791455,2015-08-25 21:27:21.000,1
10237,791455,2015-08-25 21:27:14.000,1
10237,791455,2015-08-25 21:27:02.000,0
